Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
208159,Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-80,Over 100,424,Unknown,7/25/01 0:00,Caused damage,2,AMERICAN AIRLINES,Texas,Landing Roll,Unknown,False,False,Small,Some Cloud,Rock pigeon,Y,0.0,0.0,0,No
207601,Airplane,LAKEFRONT AIRPORT,< 1000 ft,C-500,Over 100,261,Unknown,9/14/01 0:00,No damage,2,BUSINESS,Louisiana,Approach,Unknown,False,False,Small,No Cloud,European starling,N,0.0,50.0,0,No
215953,Airplane,SEATTLE-TACOMA INTL,< 1000 ft,B-737-400,Over 100,806,Precautionary Landing,9/5/02 0:00,No damage,2,ALASKA AIRLINES,Washington,Climb,Unknown,True,False,Small,Some Cloud,European starling,Y,0.0,50.0,0,Yes
219878,Airplane,NORFOLK INTL,< 1000 ft,CL-RJ100/200,Over 100,942,Unknown,6/23/03 0:00,No damage,2,COMAIR AIRLINES,Virginia,Approach,Unknown,False,False,Small,No Cloud,European starling,N,0.0,50.0,0,No
218432,Airplane,GUAYAQUIL/S BOLIVAR,< 1000 ft,A-300,Over 100,537,Unknown,7/24/03 0:00,No damage,2,AMERICAN AIRLINES,Unknown,Take-off run,Unknown,False,False,Small,No Cloud,Unknown bird - small,N,0.0,0.0,0,No
221697,Airplane,NEW CASTLE COUNTY,< 1000 ft,LEARJET-25,Over 100,227,Other,8/17/03 0:00,Caused damage,2,BUSINESS,Delaware,Climb,Unknown,True,True,Small,No Cloud,European starling,N,1481711.0,150.0,0,No
236635,Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,A-320,Over 100,320,Other,3/1/06 0:00,Caused damage,2,UNITED AIRLINES,DC,Approach,Unknown,True,False,Small,Some Cloud,European starling,Y,1483141.0,100.0,0,No
207369,Airplane,ATLANTA INTL,< 1000 ft,DC-9-30,2 to 10,9,Aborted Take-off,1/6/00 0:00,No damage,2,AIRTRAN AIRWAYS,Georgia,Take-off run,Unknown,False,False,Small,Some Cloud,Rock pigeon,N,0.0,0.0,0,No
204371,Airplane,ORLANDO SANFORD INTL AIRPORT,< 1000 ft,A-330,2 to 10,4,Unknown,1/7/00 0:00,No damage,2,AIRTOURS INTL,Florida,Landing Roll,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,0.0,0,No
201589,Airplane,ONTARIO INTL ARPT,< 1000 ft,A-320,2 to 10,3,Unknown,1/8/00 0:00,No damage,2,AMERICA WEST AIRLINES,California,Approach,Unknown,False,False,Small,Some Cloud,Rock pigeon,N,0.0,200.0,0,No
200220,Airplane,GROTON-NEW LONDON AR,< 1000 ft,C-421,2 to 10,2,Unknown,1/30/00 0:00,No damage,2,BUSINESS,Connecticut,Landing Roll,Unknown,False,False,Small,Overcast,Unknown bird - small,N,0.0,0.0,0,No
203756,Airplane,THEODORE FRANCIS GREEN STATE,< 1000 ft,B-737-200,2 to 10,5,Unknown,1/30/00 0:00,No damage,2,US AIRWAYS*,Rhode Island,Approach,Unknown,False,False,Small,No Cloud,European starling,N,0.0,50.0,0,Yes
204061,Airplane,KANSAS CITY INTL,< 1000 ft,MD-80,2 to 10,5,Unknown,2/1/00 0:00,No damage,2,TRANS WORLD AIRLINES,Missouri,Approach,Unknown,False,False,Large,Some Cloud,Snow goose,Y,0.0,500.0,0,No
202604,Airplane,LIHUE ARPT,< 1000 ft,DC-9-50,2 to 10,9,Unknown,2/11/00 0:00,No damage,2,HAWAIIAN AIR,Hawaii,Take-off run,Unknown,False,False,Small,No Cloud,Black-headed munia,Y,0.0,0.0,0,No
201044,Airplane,PHOENIX SKY HARBOR,< 1000 ft,B-737,2 to 10,9,Unknown,2/12/00 0:00,No damage,2,AMERICA WEST AIRLINES,Arizona,Landing Roll,Unknown,False,False,Small,Overcast,Rock pigeon,N,0.0,0.0,0,Yes
202254,Airplane,NASHVILLE INTL,< 1000 ft,B-737-400,2 to 10,5,Unknown,2/18/00 0:00,No damage,2,US AIRWAYS*,Tennessee,Climb,Unknown,False,False,Small,Some Cloud,European starling,N,0.0,800.0,0,Yes
205346,Airplane,JIM HAMILTON L B OWENS ARPT,< 1000 ft,C-560,2 to 10,6,Unknown,2/23/00 0:00,Caused damage,2,BUSINESS,South Carolina,Climb,Unknown,False,False,Small,Some Cloud,Rock pigeon,N,0.0,500.0,0,No
201013,Airplane,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,B-737-400,2 to 10,4,Unknown,2/29/00 0:00,No damage,2,AIR TRANSAT,Florida,Landing Roll,Unknown,False,False,Large,Some Cloud,Sandhill crane,Y,0.0,0.0,0,Yes
202226,Airplane,NEWARK LIBERTY INTL ARPT,< 1000 ft,MD-82,2 to 10,5,Unknown,3/6/00 0:00,No damage,2,CONTINENTAL AIRLINES,New Jersey,Landing Roll,Unknown,False,False,Small,No Cloud,Unknown bird - small,Y,0.0,0.0,0,No
204404,Airplane,ASPEN-PITKIN CO/SARD,< 1000 ft,HAWKER 800,2 to 10,3,Unknown,3/6/00 0:00,No damage,2,EXECUTIVE JET AVIATION,Colorado,Approach,Unknown,False,False,Small,No Cloud,Unknown bird - small,N,8600.0,20.0,0,No
202138,Airplane,ROCHESTER INTL,< 1000 ft,FOKKER F28 MK 1000,2 to 10,4,Precautionary Landing,3/6/00 0:00,No damage,2,AMERICAN AIRLINES,Minnesota,Climb,Unknown,False,False,Small,No Cloud,Unknown bird - small,N,0.0,200.0,0,No
201983,Airplane,MINNEAPOLIS-ST PAUL INTL,< 1000 ft,B-757-200,2 to 10,4,Unknown,3/7/00 0:00,No damage,2,NORTHWEST AIRLINES,Minnesota,Approach,Rain,False,False,Small,Overcast,Unknown bird - small,N,0.0,75.0,0,Yes
200247,Airplane,PUEBLO MEMORIAL ARPT,< 1000 ft,HAWKER 800,2 to 10,5,Unknown,3/11/00 0:00,No damage,2,BUSINESS,Colorado,Approach,Unknown,False,False,Small,No Cloud,Western meadowlark,N,0.0,10.0,0,No
201387,Airplane,WESTCHESTER COUNTY ARPT,< 1000 ft,EMB-135,2 to 10,5,Unknown,3/13/00 0:00,No damage,2,CONTINENTAL AIRLINES,New York,Climb,Unknown,False,False,Medium,No Cloud,Ring-billed gull,Y,0.0,10.0,0,No
